Observation,Slice#,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_096RF_FMOVIE004_PRIME,0,2008-12-10T18:01:03,0.0,359.98,3.797,5.276,4.536,52.913,74.093,63.503,17.417,40.63,29.023,86.254,84,0.60448,0.08812,0.52171,0.09144
ISS_100RF_FMOVIE003_PRIME,0,2009-01-11T10:41:34,6.44,273.18,5.85,6.291,6.07,36.25,47.223,41.737,122.902,133.626,128.264,86.743,74,0.73102,0.11118,0.44957,0.0641
ISS_103RF_FMOVIE003_PRIME,0,2009-02-10T14:28:46,0.0,359.98,6.205,6.445,6.325,69.849,82.182,76.016,150.193,155.545,152.869,87.209,63,0.73456,0.17633,0.6546,0.15556
ISS_104RF_FMOVIE003_PRIME,0,2009-02-25T00:06:54,0.0,359.98,5.011,5.11,5.06,142.832,146.622,144.727,112.185,116.398,114.292,87.426,17,6.07093,1.09273,2.47824,0.346
ISS_105RF_FMOVIE002_PRIME,0,2009-03-11T11:51:58,0.0,359.98,5.323,5.658,5.49,98.879,112.068,105.474,23.153,25.639,24.396,87.657,78,0.8911,0.22125,0.81486,0.20338
ISS_105RF_FMOVIE003_PRIME,0,2009-03-04T08:46:54,0.0,359.98,7.078,7.235,7.157,33.541,35.013,34.277,110.73,114.441,112.586,87.541,30,1.28066,0.17339,0.49333,0.08156
ISS_106RF_FMOVIE002_PRIME,0,2009-03-23T11:07:10,0.0,359.98,5.312,5.638,5.475,99.884,112.456,106.17,23.128,25.736,24.432,87.842,75,0.89253,0.30365,0.81573,0.27534
ISS_107RF_FMOVIE002_PRIME,0,2009-03-29T16:51:42,188.48,337.72,7.083,7.131,7.107,54.925,61.22,58.073,139.907,144.157,142.032,87.934,41,0.73649,0.28224,0.57878,0.21297
ISS_108RF_FMOVIE001_PRIME,0,2009-04-16T10:34:06,0.0,359.98,7.814,7.859,7.837,100.748,107.744,104.246,142.255,147.304,144.78,88.21,64,1.14127,0.75202,0.92831,0.59666
ISS_110RF_FMOVIE002_PRIME,0,2009-05-10T09:03:58,49.94,302.24,5.532,5.761,5.646,52.806,66.26,59.533,56.303,70.077,63.19,88.58,70,1.23853,0.30225,0.5485,0.1204
ISS_111RF_FMOVIE002_PRIME,0,2009-05-26T09:08:14,0.0,359.98,5.278,21.155,13.216,34.336,38.283,36.309,92.949,103.212,98.081,88.825,53,4.71739,2.53263,0.52944,0.09051
ISS_112RF_FMOVIE002_PRIME_1,0,2009-06-10T11:51:26,0.0,359.98,4.215,5.529,4.872,17.108,21.661,19.384,97.808,109.738,103.773,89.058,50,2.0983,0.53769,0.48349,0.07195
ISS_112RF_FMOVIE002_PRIME_2,0,2009-06-10T19:18:22,0.0,359.98,5.198,5.943,5.571,33.752,34.879,34.315,109.649,117.236,113.443,89.061,36,1.34103,0.12457,0.53591,0.07763
ISS_114RF_FMOVIEEQX001_PRIME,0,2009-07-13T20:02:06,0.0,359.98,8.778,9.725,9.251,88.168,92.177,90.172,130.722,132.91,131.816,89.574,83,1.07964,0.22637,0.71984,0.14674
ISS_115RF_FMOVIEEQX001_PRIME,0,2009-07-30T01:05:34,0.0,359.98,9.999,11.025,10.512,98.879,101.838,100.358,117.346,119.101,118.224,89.824,87,1.55655,0.28609,0.73615,0.13396
ISS_132RI_FMOVIE001_VIMS,0,2010-05-31T23:02:54,32.54,347.08,7.372,10.859,9.115,119.849,125.547,122.698,79.423,80.122,79.772,85.538,84,5.86101,0.70705,1.03398,0.12435
ISS_168RF_FMOVIE001_PRIME,0,2012-06-25T03:03:58,0.0,359.98,10.752,14.08,12.416,108.712,111.52,110.116,110.622,111.005,110.814,75.174,59,2.75296,0.84815,0.9762,0.30041
ISS_168RI_PROPRETRG001_PRIME,0,2012-07-03T00:11:09,234.66,292.32,11.568,35.357,23.462,44.384,44.89,44.637,96.452,96.836,96.644,75.084,16,3.71491,0.37233,0.4294,0.04306
ISS_172RF_FMOVIE001_PRIME,0,2012-09-20T17:37:33,0.0,359.98,10.02,10.918,10.469,110.869,115.317,113.093,121.627,122.193,121.91,74.117,85,1.91271,0.54511,1.01143,0.28883
ISS_172RI_EGAPMOVMP002_PRIME,0,2012-10-01T13:11:25,0.0,359.98,14.313,14.93,14.622,71.728,74.516,73.122,114.739,116.295,115.517,73.988,100,1.60751,0.47348,0.69255,0.20236
ISS_173RF_FMOVIE001_PRIME_1,0,2012-10-15T19:43:57,3.62,232.72,7.717,9.039,8.378,137.364,142.122,139.743,123.756,124.323,124.039,73.827,63,3.73368,0.68697,2.09222,0.38577
ISS_173RF_FMOVIE001_PRIME_2,0,2012-10-16T03:46:37,3.46,232.06,7.214,9.851,8.533,153.296,160.866,157.081,118.24,123.414,120.827,73.821,63,10.18185,1.96368,5.187,0.84613
ISS_174RF_FRSTRCHAN001_PRIME_1,0,2012-11-08T21:59:57,0.0,359.98,7.419,7.946,7.682,150.423,156.162,153.293,121.053,123.746,122.399,73.545,49,7.83712,1.47091,4.20518,0.76724
