Observation,Slice#,Num Data,Date,Min Long,Max Long,Mean Long,Min Inertial Long,Max Inertial Long,Mean Inertial Long,Min Long of Pericenter,Max Long of Pericenter,Mean Long of Pericenter,Min True Anomaly,Max True Anomaly,Mean True Anomaly,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std,EWI,EWI Std,Normal EWI,Normal EWI Std,EWC,EWC Std,Normal EWC,Normal EWC Std,EWO,EWO Std,Normal EWO,Normal EWO Std,Normal EW3Z,Normal EW3Z Std,Normal EW3ZPN,Normal EW3ZPN Std,Core Offset Median,Core Offset Mean,Core Offset Std
ISS_080RF_FMOVIE005_PRIME,0,5213,2008-08-14T06:50:39,66.74,170.98,118.86,96.83,117.616,109.499,244.009,244.395,244.212,212.435,233.607,225.286,6.6088147,14.90978,7.206634,14.242755,15.013293,14.541626,81.26338,83.724014,82.54786,84.41857915,28.96,3.5520966,0.54350615,0.45729486,0.06284848,1.35752455,0.22837684,0.17427998,0.02383443,1.37412134,0.44682085,0.17830982,0.05957901,0.8204507,0.16286305,0.10470506,0.01237702,0.53306666,0.08559256,0.53152662,0.08533942,-5.0,-8.886,45.413
ISS_081RI_FMOVIE106_VIMS,0,15915,2008-08-20T00:36:15,0.0,359.98,190.07,104.616,108.74,106.755,259.507,260.991,260.257,203.624,207.777,206.497,3.4658878,4.9278026,4.22846,29.143494,47.49516,37.11689,39.289074,60.610756,51.21482,84.51332549,88.42,0.87716745,0.23410384,0.53502395,0.11689003,0.29907619,0.06475793,0.1831836,0.0334497,0.39643103,0.16738247,0.24103675,0.09198565,0.18166022,0.05138255,0.1108036,0.02567879,0.60145829,0.14097722,0.58829103,0.13910787,0.0,-2.956,31.778
ISS_083RI_FMOVIE109_VIMS,0,15995,2008-08-30T16:19:11,31.78,351.66,191.72,112.171,119.526,116.504,288.279,289.728,289.006,182.442,191.247,187.497,6.956007,7.699698,7.1188917,20.905388,26.548374,23.623644,103.180305,110.270775,106.68888,84.67734012,88.86,1.83861417,0.51703107,0.51602988,0.11781997,0.65527733,0.15615317,0.18401523,0.03081639,0.75148524,0.32489119,0.21029216,0.08294187,0.4318516,0.12386147,0.12172249,0.03071078,0.58893303,0.14585233,0.58428055,0.14494013,5.0,-0.055,32.792
ISS_085RF_FMOVIE003_PRIME_1,0,9055,2008-09-15T23:01:19,65.92,248.78,156.61,126.587,130.621,129.502,332.237,333.068,332.659,153.965,158.364,156.843,5.248175,5.788656,5.518664,41.460888,48.00539,44.650257,126.37653,132.6413,129.46577,84.92485236,50.31,0.81212062,0.20383857,0.51255466,0.11497901,0.26921077,0.03940388,0.17040293,0.02105306,0.33411017,0.13662607,0.21043421,0.08145816,0.20879968,0.07880658,0.13171752,0.0465927,0.57607866,0.13796242,0.55707979,0.13465887,10.0,6.803,23.08
ISS_085RF_FMOVIE003_PRIME_2,0,6245,2008-09-16T06:34:07,120.46,245.34,182.9,307.027,310.118,308.203,333.086,333.654,333.366,333.838,337.032,334.837,5.2871504,6.0731072,5.64071,48.221493,53.000187,50.58241,130.3256,135.65543,132.95006,84.92827362,34.69,0.77331672,0.17979139,0.52425756,0.1117614,0.28058366,0.06199715,0.19019813,0.03766547,0.32961584,0.13386795,0.22315579,0.08734428,0.16311722,0.02471538,0.11090365,0.01572611,0.59094462,0.13694234,0.56437793,0.13191203,-10.0,-12.482,10.196
ISS_087RF_FMOVIE003_PRIME,0,13961,2008-09-30T16:28:15,0.0,359.98,187.28,282.656,287.057,284.568,12.003,13.289,12.641,270.611,274.776,271.927,4.905153,5.854948,5.388397,44.65068,54.23677,49.15459,125.56203,136.73578,130.88974,85.15466253,77.56,0.8355213,0.17096657,0.54873023,0.1284185,0.29744695,0.05533854,0.19461712,0.03784742,0.36622095,0.15190337,0.24177727,0.10661146,0.17185339,0.011152,0.11233583,0.01046173,0.62449971,0.16013253,0.59741297,0.15103305,5.0,-1.051,27.73
ISS_089RF_FMOVIE003_PRIME,0,14613,2008-10-14T22:37:51,0.0,359.98,191.31,280.372,286.359,282.497,50.5,51.844,51.162,229.827,235.512,231.335,5.6597567,6.4575706,6.052142,38.9198,46.086903,42.325798,117.96986,127.250626,122.47493,85.3751593,81.18,1.04095734,0.20357651,0.55925029,0.11808942,0.36757036,0.07067113,0.19635344,0.03542906,0.460468,0.17996065,0.24869539,0.10041312,0.21291898,0.01570284,0.11420145,0.01188761,0.64330474,0.15056266,0.62415843,0.14540841,5.0,0.702,29.045
ISS_091RF_FMOVIE003_PRIME,0,15376,2008-10-29T20:23:27,27.78,335.28,181.53,197.822,199.884,198.93,90.751,92.17,91.461,105.651,109.117,107.469,5.749045,8.673289,7.142625,43.518864,55.777946,49.204205,127.86671,141.25955,134.17981,85.60563025,85.42,1.06190995,0.32122942,0.72859607,0.19397426,0.34404025,0.09360022,0.23600022,0.05217295,0.47445378,0.25559995,0.32467424,0.16825865,0.24341591,0.07893156,0.1679216,0.05212661,0.83996207,0.24908748,0.80485198,0.24132048,10.0,4.519,36.962
ISS_092RF_FMOVIE003_PRIME,0,3514,2008-11-07T03:06:39,230.4,300.66,265.53,300.287,303.751,300.692,113.109,113.421,113.258,186.95,190.641,187.434,5.8261952,6.169119,5.9573636,48.89373,51.154892,50.10709,132.83945,135.37375,134.17966,85.7276404,19.52,0.79819101,0.11557063,0.55638001,0.08190273,0.2875255,0.02647907,0.20031453,0.01805368,0.36301511,0.10688379,0.2531877,0.07532841,0.1476504,0.0096653,0.10287778,0.00660076,0.64545736,0.10770466,0.61684572,0.10272704,-5.0,-4.903,12.417
ISS_093RF_FMOVIE003_PRIME,0,11328,2008-11-14T15:06:39,0.0,359.98,199.07,126.592,133.719,130.414,133.361,134.418,133.895,353.175,359.305,356.519,6.051661,6.6153154,6.343169,40.236088,46.930294,43.472343,126.077156,132.4935,129.21974,85.84781999,62.93,0.80855705,0.10947403,0.51165582,0.07612946,0.29102349,0.04194491,0.18364657,0.02544295,0.3462825,0.09393309,0.21986264,0.06328186,0.17125107,0.01513872,0.1081466,0.00960755,0.59219774,0.09800986,0.57345851,0.09406368,0.0,-4.349,16.404
