Observation,Slice#,Num Data,Date,Min Long,Max Long,Min Res,Max Res,Mean Res,Min Phase,Max Phase,Mean Phase,Min Emission,Max Emission,Mean Emission,Incidence,% Coverage,EW,EW Std,Normal EW,Normal EW Std
ISS_231RI_EGAPMOVMP001_PRIME,0,17043,2016-02-06T01:18:20,0.0,359.98,13.688,29.628,18.122,101.171,103.566,102.413,80.483,81.306,80.916,64.161,94.68333333333334,4.8177,1.20304,0.75891,0.18147
ISS_232RF_FMOVIE001_PRIME,0,17145,2016-02-10T00:41:00,13.08,355.96,11.481,16.945,11.951,83.924,86.845,85.384,76.528,77.179,76.865,64.147,95.25,2.98008,0.79857,0.67763,0.18484
ISS_232RI_EGAPMOVMP001_PRIME_1,0,17083,2016-02-21T02:05:16,0.0,359.98,14.188,24.861,16.324,106.382,108.922,107.707,77.85,78.946,78.333,64.102,94.90555555555555,4.43195,1.50502,0.89506,0.30098
ISS_232RI_EGAPMOVMP001_PRIME_2,0,7632,2016-02-21T15:15:08,0.0,359.98,14.516,22.753,15.871,99.915,100.874,100.347,77.63,78.076,77.813,64.105,42.4,3.68034,1.24106,0.77682,0.26108
ISS_233RF_FMOVIE001_PRIME_1,0,9491,2016-03-06T01:38:04,0.0,359.98,10.518,11.901,10.812,56.568,58.669,57.669,67.892,68.379,68.106,64.053,52.727777777777774,1.55767,0.52751,0.58064,0.19494
ISS_234RF_FMOVIE001_PRIME,0,7896,2016-04-01T01:26:20,0.0,359.98,6.11,7.045,6.464,35.326,39.73,37.623,68.896,69.681,69.286,63.964,43.86666666666667,1.65046,0.47356,0.58395,0.16918
ISS_234RI_EGAPMOVMP001_PRIME,0,15959,2016-04-07T23:05:00,0.0,359.98,13.082,17.853,13.669,106.889,110.064,108.491,74.098,75.677,74.844,63.94,88.66111111111111,3.44256,1.06449,0.89961,0.27927
ISS_235RF_FMOVIE001_PRIME,0,16001,2016-05-01T13:42:20,0.0,359.98,8.45,9.797,9.022,20.862,26.416,23.758,64.972,66.837,65.881,63.866,88.89444444444445,1.50108,0.6231,0.61245,0.25036
ISS_235RF_FMOVIE002_PRIME_1,0,9195,2016-05-09T19:29:32,0.0,359.98,12.678,14.452,12.939,104.741,106.921,105.857,69.0,70.37,69.661,63.841,51.083333333333336,2.73461,1.37626,0.94786,0.46456
ISS_235RF_FMOVIE002_PRIME_2,0,8548,2016-05-10T02:30:52,0.0,359.98,15.404,20.542,16.476,97.389,99.059,98.196,68.625,69.497,69.049,63.844,47.488888888888894,2.28643,1.35828,0.8156,0.47538
ISS_236RF_FMOVIE002_PRIME,0,18000,2016-06-10T12:09:00,0.0,359.98,11.548,12.254,11.899,94.945,99.659,97.281,62.948,65.853,64.377,63.753,100.0,1.90271,0.91745,0.81913,0.38534
ISS_239RF_FMOVIE001_PRIME,0,17385,2016-08-02T13:36:28,0.0,359.98,9.808,10.195,9.986,47.273,53.584,50.453,40.945,41.466,41.084,63.617,96.58333333333333,0.7741,0.25733,0.58349,0.19404
ISS_239RF_FMOVIE002_PRIME_1,0,9232,2016-08-12T12:44:44,0.0,359.98,9.052,9.45,9.12,112.996,116.595,114.802,64.208,67.166,65.662,63.591,51.288888888888884,2.29443,0.36461,0.94402,0.14332
ISS_239RF_FMOVIE002_PRIME_2,0,6414,2016-08-12T20:09:32,0.0,359.98,9.882,11.197,10.206,103.621,105.956,104.782,63.087,64.833,63.953,63.594,35.63333333333333,1.70527,0.2831,0.74921,0.12777
ISS_239RI_HIRESAFRG001_PRIME_1,0,5148,2016-08-07T15:05:00,92.44,195.38,3.302,3.475,3.352,74.974,90.301,82.52,123.764,134.981,129.397,63.606,28.599999999999998,1.1417,0.22802,0.72681,0.16607
ISS_240RF_FMOVIE002_PRIME,0,10126,2016-08-23T01:03:56,0.0,359.98,8.047,14.65,8.466,130.02,134.649,132.408,77.31,81.141,79.237,63.568,56.25555555555556,7.69064,1.46321,1.41209,0.17031
ISS_241RF_FMOVIE001_PRIME,0,11481,2016-08-29T18:07:56,0.0,359.98,5.168,5.626,5.33,10.818,33.586,24.051,36.836,53.29,42.425,63.555,63.78333333333334,0.84435,0.37507,0.6111,0.24062
ISS_242RF_FMOVIE001_PRIME,0,18000,2016-09-17T00:59:40,0.0,359.98,10.381,11.723,11.1,107.609,114.325,110.955,65.442,70.583,67.984,63.517,100.0,2.44987,0.72109,0.91254,0.24562
ISS_243RF_FMOVIE001_PRIME_1,0,8072,2016-09-22T09:59:56,106.3,267.72,6.094,6.312,6.199,32.433,39.947,36.271,36.97,40.068,38.404,63.508,44.84444444444444,0.7908,0.2867,0.61905,0.22348
ISS_243RF_FMOVIE001_PRIME_2,0,7691,2016-09-22T17:06:36,106.72,267.84,5.053,5.578,5.313,40.18,48.064,44.33,36.844,38.81,37.676,63.504,42.727777777777774,0.7449,0.26298,0.58922,0.20734
ISS_246RF_FMOVIE002_PRIME,0,18000,2016-10-27T16:29:48,0.0,359.98,9.805,13.079,11.227,109.384,116.716,113.037,63.726,69.794,66.743,63.444,100.0,2.43599,0.7857,0.95471,0.29672
ISS_253RF_FMOVIE001_PRIME_2,0,18000,2016-12-17T00:10:04,0.0,359.98,5.336,6.93,6.165,110.225,120.74,115.949,53.719,64.036,59.362,63.368,100.0,2.12814,0.52198,1.07523,0.24234
ISS_256RF_FMOVIE001_PRIME_1,0,9478,2017-01-07T17:49:47,0.0,359.98,5.535,6.338,5.94,112.466,118.047,115.412,55.42,60.88,58.302,63.343,52.65555555555556,2.09589,0.5559,1.09739,0.27719
ISS_256RF_FMOVIE001_PRIME_2,0,9438,2017-01-08T01:40:11,0.0,359.98,6.013,6.958,6.489,97.674,105.12,101.58,53.835,58.786,56.382,63.344,52.43333333333333,1.51723,0.43161,0.83788,0.23086
ISS_260RF_FMOVIE001_PRIME,0,18000,2017-02-05T04:25:31,0.0,359.98,5.254,6.464,5.899,112.162,122.016,117.473,54.493,64.089,59.688,63.314,100.0,2.12488,0.62959,1.06113,0.28635
ISS_265RF_FMOVIE001_PRIME,0,5382,2017-03-12T00:02:03,20.1,346.3,7.939,9.976,8.361,131.809,134.446,133.115,72.478,74.887,73.662,63.29,29.9,5.5964,0.94731,1.57159,0.25833
ISS_272RF_FMOVIE001_PRIME,0,9745,2017-05-01T01:44:27,0.0,359.98,5.922,7.393,6.267,133.536,136.659,135.126,72.452,75.533,74.008,63.27,54.13888888888889,6.39657,1.00263,1.76286,0.29507
ISS_274RF_FMOVIE001_PRIME,0,6321,2017-05-13T13:46:35,0.0,359.98,6.742,8.874,6.94,138.359,140.083,139.216,76.472,78.155,77.294,63.268,35.11666666666667,9.36787,1.30201,2.05933,0.28936
ISS_274RF_FMOVIE002_PRIME,0,14025,2017-05-14T00:07:23,50.36,330.84,5.836,9.265,7.051,124.301,130.237,127.492,69.671,74.293,72.151,63.27,77.91666666666667,4.09443,1.1766,1.23742,0.30614
ISS_276RI_HIRESAFRG001_PRIME,0,3559,2017-05-28T01:29:31,0.0,359.98,3.07,4.376,3.689,106.069,120.462,113.804,55.717,59.727,57.891,63.269,19.772222222222222,1.95119,0.69621,1.04192,0.38551
ISS_289RF_FMOVIE001_PRIME,0,18000,2017-08-18T21:23:07,0.0,359.98,5.322,7.139,6.078,131.324,136.96,134.344,68.289,74.131,71.405,63.298,100.0,5.33194,1.84925,1.66888,0.48216
ISS_292RF_FMOVIE001_PRIME,0,18000,2017-09-06T11:47:07,0.0,359.98,7.204,9.071,7.885,138.143,142.227,140.253,75.016,78.932,77.023,63.312,100.0,9.24256,2.20141,2.0532,0.44465
