Occultation Name,Ring Event Start Time,Ring Event End Time,Ring Event Mean Time,RevNo,Observation Name,Star Name,Direction,Minimum Wavelength,Maximum Wavelength,Data Quality Score,Minimum Inertial Longitude,Maximum Inertial Longitude,Mean Inertial Longitude,Minimum Co-Rot Longitude,Maximum Co-Rot Longitude,Mean Co-Rot Longitude,Ring Elevation,Lowest Detectable Opacity,Highest Detectable Opacity,Prometheus Distance,Equivalent Tau,Core30 ED,Core50 ED,Full ED,Before ISS ObsName,Before ISS Delta,After ISS ObsName,After ISS Delta
VIMS_2008_277_RSCNC_E,2008-10-03T22:20:27,2008-10-03T22:22:43,2008-10-03T22:21:35,87,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,159.717,160.015,159.867,258.443,259.062,258.753,29.95,0.0006,3.361,217.923,0.043,4.744,4.905,10.209,ISS_087RF_FMOVIE003_PRIME,3.01,ISS_089RF_FMOVIE003_PRIME,11.26
VIMS_2008_278_RLEO_I,2008-10-04T18:50:50,2008-10-04T18:52:51,2008-10-04T18:51:50,87,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,85.099,86.034,85.563,47.194,47.313,47.252,9.55,0.0003,1.0769,218.152,0.014,1.08,1.4,6.606,ISS_087RF_FMOVIE003_PRIME,3.86,ISS_089RF_FMOVIE003_PRIME,10.4
VIMS_2008_278_RLEO_E,2008-10-04T20:22:47,2008-10-04T20:24:47,2008-10-04T20:23:47,87,N/A,RLEO,BOTH,2866.0,2977.0,FAIR,132.893,133.806,133.353,57.823,57.935,57.881,9.55,0.0002,1.0783,218.152,0.048,4.915,5.247,10.084,ISS_087RF_FMOVIE003_PRIME,3.93,ISS_089RF_FMOVIE003_PRIME,10.34
VIMS_2008_290_GAMCRU_I,2008-10-16T03:28:12,2008-10-16T03:30:42,2008-10-16T03:29:27,89,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,183.473,183.541,183.507,13.865,14.942,14.403,-62.35,0.0062,4.403,219.489,0.049,4.817,5.118,10.03,ISS_089RF_FMOVIE003_PRIME,0.96,ISS_093RF_FMOVIE003_PRIME,29.68
VIMS_2008_315_RSCNC_I,2008-11-10T00:41:21,2008-11-10T00:44:10,2008-11-10T00:42:45,92,N/A,RSCNC,BOTH,2866.0,2977.0,GOOD,68.331,68.873,68.601,177.469,178.064,177.767,29.95,0.0008,3.237,221.36,0.052,5.374,5.81,8.892,ISS_091RF_FMOVIE003_PRIME,10.92,,30.98
VIMS_2008_328_EPSMUS_I,2008-11-23T06:44:13,2008-11-23T06:48:03,2008-11-23T06:46:08,94,N/A,EPSMUS,BOTH,2866.0,2977.0,GOOD,244.274,244.745,244.509,200.75,201.822,201.286,-72.77,0.0016,6.0904,220.227,0.053,5.291,5.752,11.099,ISS_091RF_FMOVIE003_PRIME,24.17,ISS_096RF_FMOVIE004_PRIME,17.73
VIMS_2008_351_GAMCRU_I,2008-12-16T10:11:04,2008-12-16T10:13:30,2008-12-16T10:12:17,97,N/A,GAMCRU,INGRESS,2866.0,2977.0,POOR,188.156,188.186,188.171,355.958,356.966,356.462,-62.35,0.0062,4.402,215.419,0.061,5.982,6.899,17.224,ISS_096RF_FMOVIE004_PRIME,5.41,,56.39
VIMS_2009_012_GAMCRU_I,2009-01-12T09:22:49,2009-01-12T09:25:27,2009-01-12T09:24:08,100,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,209.914,210.047,209.981,164.23,165.163,164.697,-62.35,0.0074,4.2427,210.106,0.051,4.675,5.288,8.213,ISS_100RF_FMOVIE003_PRIME,0.71,,70.34
VIMS_2009_022_GAMCRU_I,2009-01-21T23:08:23,2009-01-21T23:11:02,2009-01-21T23:09:43,101,N/A,GAMCRU,INGRESS,2866.0,2977.0,FAIR,209.894,210.027,209.96,352.883,353.816,353.349,-62.35,0.0074,4.2403,209.471,0.061,5.647,6.454,13.327,,41.95,ISS_103RF_FMOVIE003_PRIME,19.85
VIMS_2009_031_GAMCRU_I,2009-01-31T12:21:19,2009-01-31T12:23:57,2009-01-31T12:22:38,102,N/A,GAMCRU,INGRESS,2866.0,2977.0,GOOD,209.68,209.811,209.745,194.537,195.469,195.003,-62.35,0.0044,4.7049,209.558,0.02,2.044,2.139,4.121,ISS_100RF_FMOVIE003_PRIME,19.84,ISS_103RF_FMOVIE003_PRIME,10.3
