OPUS ID             ,Primary File Spec                         ,Target       ,Start Time              ,Phase Angle ,Duration ,Observed Ring Radius (Min) [Ring] (km) ,Observed Ring Radius (Max) [Ring] (km) ,Observed J2000 Longitude (Min) [Ring] (degrees) ,Observed J2000 Longitude (Max) [Ring] (degrees) ,Observed Resolution (Min) [Ring] (km/pixel) ,Observed Resolution (Max) [Ring] (km/pixel) ,Observed Emission Angle (Min) [Ring] (degrees) ,Observed Emission Angle (Max) [Ring] (degrees) ,Observed Incidence Angle (Min) [Ring] (degrees) ,Note
vg-iss-2-s-c4394058 ,VGISS_6213/DATA/C43940XX/C4394058_RAW.LBL ,System       ,1981-08-23T23:40:41.240 ,     12.073 ,    5.76 ,                            118315.778 ,                            222349.82  ,                                         35.83  ,                                         48.734 ,                                   21.26833 ,                                   22.2464  ,                                        12.692 ,                                        75.107 ,                                         75.776 ,81.97                                                          ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS

vg-iss-2-s-c4393911 ,VGISS_6213/DATA/C43939XX/C4393911_RAW.LBL ,System       ,1981-08-23T22:14:55.640 ,     15.624 ,   15.36 ,                            133019.307 ,                            169091.784 ,                                        280.766 ,                                        326.723 ,                                   22.9667  ,                                   24.09045 ,                                        16.219 ,                                        75.971 ,                                         76.638 ,81.971                                                         ,Search for satellites within orbit of Mimas; alternative TARGET_NAME = S_RINGS

vg-iss-2-s-c4396654 ,VGISS_6213/DATA/C43966XX/C4396654_RAW.LBL ,Mimas        ,1981-08-24T20:23:09.560 ,     18.317 ,    1.44 ,                             81152.463 ,                            521737.589 ,                                        220.707 ,                                        331.49  ,                                  105.83385 ,                                  145.00605 ,                                        22.265 ,                                        73.84  ,                                         78.28  ,81.958                                                         ,Longitude coverage

vg-iss-2-s-c4396755 ,VGISS_6213/DATA/C43967XX/C4396755_RAW.LBL ,Enceladus    ,1981-08-24T21:11:58.910 ,     11.241 ,    0.09 ,                             86909.315 ,                            583887.67  ,                                         93.702 ,                                        194.765 ,                                  105.48031 ,                                  146.64928 ,                                        14.729 ,                                        74.049 ,                                         78.6   ,81.958                                                         ,Longitude coverage

vg-iss-2-s-c4397012 ,VGISS_6213/DATA/C43970XX/C4397012_RAW.LBL ,Saturn Rings ,1981-08-24T23:03:58.040 ,     22.756 ,    0.96 ,                            131752.162 ,                            151480.435 ,                                        280.355 ,                                        305.651 ,                                   13.60469 ,                                   14.17362 ,                                        23.339 ,                                        74.054 ,                                         74.711 ,81.957                                                         ,VRDYN ring dynamics
vg-iss-2-s-c4397016 ,VGISS_6213/DATA/C43970XX/C4397016_RAW.LBL ,Saturn Rings ,1981-08-24T23:07:10.040 ,     22.922 ,    0.96 ,                            132189.545 ,                            148488.839 ,                                        293.08  ,                                        317.718 ,                                   13.31083 ,                                   13.85602 ,                                        23.504 ,                                        73.711 ,                                         74.369 ,81.957                                                         ,VRDYN ring dynamics

vg-iss-2-s-c4397020 ,VGISS_6213/DATA/C43970XX/C4397020_RAW.LBL ,Saturn Rings ,1981-08-24T23:10:22.040 ,     13.685 ,    0.96 ,                            125828.688 ,                            174987.217 ,                                        146.916 ,                                        167.41  ,                                   14.23955 ,                                   14.88442 ,                                        14.304 ,                                        74.818 ,                                         75.49  ,81.958                                                         ,VRDYN ring dynamics
vg-iss-2-s-c4397024 ,VGISS_6213/DATA/C43970XX/C4397024_RAW.LBL ,Saturn Rings ,1981-08-24T23:13:34.040 ,     13.577 ,    0.96 ,                            123514.107 ,                            165477.803 ,                                        139.404 ,                                        162.243 ,                                   14.07982 ,                                   14.70923 ,                                        14.196 ,                                        74.659 ,                                         75.331 ,81.958                                                         ,VRDYN ring dynamics
vg-iss-2-s-c4397028 ,VGISS_6213/DATA/C43970XX/C4397028_RAW.LBL ,Saturn Rings ,1981-08-24T23:16:46.040 ,     12.909 ,    0.96 ,                            133696.298 ,                            152916.26  ,                                        110.974 ,                                        135.98  ,                                   13.52296 ,                                   14.09418 ,                                        13.527 ,                                        74.029 ,                                         74.693 ,81.957                                                         ,VRDYN ring dynamics
vg-iss-2-s-c4397032 ,VGISS_6213/DATA/C43970XX/C4397032_RAW.LBL ,Saturn Rings ,1981-08-24T23:19:58.040 ,     13.162 ,    0.96 ,                            130207.167 ,                            146962.542 ,                                         99.812 ,                                        124.872 ,                                   13.25377 ,                                   13.80096 ,                                        13.779 ,                                        73.715 ,                                         74.377 ,81.957                                                         ,VRDYN ring dynamics
----
vg-iss-2-s-c4397801 ,VGISS_6213/DATA/C43978XX/C4397801_RAW.LBL ,Saturn Rings ,1981-08-25T05:19:10.040 ,     26.827 ,    0.96 ,                            132187.47  ,                            147592.048 ,                                        290.057 ,                                        309.183 ,                                   10.9502  ,                                   11.36621 ,                                        27.398 ,                                        72.816 ,                                         73.463 ,81.953                                                         ,3 F ring 'pseudo-rocks' (clumps)
vg-iss-2-s-c4397805 ,VGISS_6213/DATA/C43978XX/C4397805_RAW.LBL ,Saturn Rings ,1981-08-25T05:22:22.040 ,     26.946 ,    0.96 ,                            131819.444 ,                            145214.391 ,                                        298.173 ,                                        316.867 ,                                   10.76038 ,                                   11.16262 ,                                        72.528 ,                                        73.176 ,                                         81.953 ,3 F ring 'pseudo-rocks' (clumps)
